,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
10204,U-010943,2022-12-16,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,Más de 1 año,"39,20,11,6",Si,No,No,Hasta 300€,Primera residencia,Indiferente,1 mes
10205,U-010944,2022-12-16,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,,"44,44,25,21,17,9",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10206,U-010945,2022-12-16,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Guía turístico,3 meses,0,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
10207,U-010946,2022-12-16,Latino América,Ninguna,El Cerrito,No estoy en ninguna de esas situaciones,Soldador,1 año,"40, 37, 15 años y 10 meses",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
10208,U-010947,2022-12-16,España,Madrid,"San Martín de la Vega, Madrid",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Carnicero,6 meses,33. 32. 1,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
10209,U-010948,2022-12-16,España,Madrid,serracines,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mecánico,3 meses,23,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10210,U-010949,2022-12-16,España,Almería,Fines,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,3 meses,38-38-12-7-0,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Palencia,Aún me lo estoy pensando
10211,U-010950,2022-12-17,Latino América,Ninguna,Maracay Venezuela,No estoy en ninguna de esas situaciones,Pastelero,3 meses,47-45,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10212,U-010951,2022-12-17,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,1 año,10 8 5 1 1,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10213,U-010952,2022-12-17,Latino América,Ninguna,La Habana Cuba,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Psicólogo,,36 mi hija 65 yo,No,No,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses
10214,U-010953,2022-12-17,España,Ciudad Real,Cabezarrubias del puerto,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,6 meses,45,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
10215,U-010954,2022-12-18,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,3 meses,"38,40",No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
10216,U-010955,2022-12-18,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,Más de 1 año,50 28 12 10 3,No,No,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses
10217,U-010956,2022-12-18,Latino América,Ninguna,La habana cuba,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Psicólogo,3 meses,37 y 65,No,No,No,Hasta 450€,Primera residencia,Indiferente,3 meses
10218,U-010957,2022-12-18,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,"39, 37, 7 y 3",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
10219,U-010958,2022-12-19,Latino América,Ninguna,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Veterinario,3 meses,51-48-16-16,No,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
10220,U-010959,2022-12-19,España,Madrid,Fuente el saz de jarama,No estoy en ninguna de esas situaciones,Atención al cliente,,"29,22,5",No,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
10221,U-010960,2022-12-19,España,Albacete,Chinchilla de Monte Aragón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,Más de 1 año,"43, 13, 12 y 8",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10222,U-010961,2022-12-19,España,Albacete,Madrigueras,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,"41,36,20,19,9 y 5 años de edad",No,Si,Si,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando
10223,U-010962,2022-12-19,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Vigilante,Más de 1 año,27 y 50,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
10224,U-010963,2022-12-19,Latino América,Ninguna,Guantanamo,No estoy en ninguna de esas situaciones,Otro,3 meses,45 / 33 / 13 / 8 / 5 / 2,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10225,U-010964,2022-12-19,España,Sevilla,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,,42 48,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,1 mes
10226,U-010965,2022-12-19,España,Baleares,Baleares Mallorca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,6 meses,7. 10. 14. 40.40,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,6 meses
10227,U-010966,2022-12-20,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,Más de 1 año,9 años 27 años 44 años 44 años 66 años,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Cuenca,1 mes
10228,U-010967,2022-12-20,Latino América,Ninguna,Habana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mecánico,1 año,"80. 51, 53, 18",No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10229,U-010968,2022-12-20,Latino América,Ninguna,Buenos Aires,No estoy en ninguna de esas situaciones,Logística de transportes,3 meses,49 y 41,No,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
10230,U-010969,2022-12-20,España,Lugo,No tengo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Médico,3 meses,"56, 26",No,No,No,Hasta 450€,Primera residencia,Indiferente,6 meses
