,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
3347,U-003659,2020-09-17,España,Cataluña,Santa Coloma de Gramanet,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,1 año,"53,47",Si,Si,No,Hasta 600€,Primera residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,2,0,0,0,0,0,0
3348,U-003660,2020-09-17,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,Más de 1 año,"49,12,8",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,3,1,0,0,0,0,0
3349,U-003661,2020-09-17,España,Castilla y León,León,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,6 meses,"32,32,10",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Galicia,3 meses,3,0,0,0,0,1,0
3350,U-003662,2020-09-17,España,Madrid,Mostoles,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,3 meses,"50,44,35,26,23,13",No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,6,1,0,0,0,0,0
3351,U-003663,2020-09-17,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,"42,37,7,3",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,4,0,0,0,0,0,0
3352,U-003664,2020-09-17,España,Andalucía,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"9,11,38",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Galicia,3 meses,3,0,0,0,0,1,0
3353,U-003665,2020-09-17,España,Andalucía,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,"11,33,39,87",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0
3354,U-003666,2020-09-17,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,3 meses,"9,22,21,56",No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,4,1,0,0,0,0,0
3355,U-003667,2020-09-17,España,Cataluña,Sabadell,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Soldador,Más de 1 año,"28,30",No,Si,No,Hasta 300€,Primera residencia,Pueblos de Galicia,3 meses,2,0,0,0,0,0,0
3356,U-003668,2020-09-17,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"57,57",Si,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,6 meses,2,0,0,0,0,0,0
3357,U-003669,2020-09-17,Latino América,Ninguna,Maturin,No estoy en ninguna de esas situaciones,Recursos Humanos,3 meses,"36,36,4",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,1,0,0,0,0,0
3358,U-003670,2020-09-17,Latino América,Ninguna,Maturin,No estoy en ninguna de esas situaciones,Recursos Humanos,3 meses,"36,36,4",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,1,0,0,0,0,0
3359,U-003671,2020-09-17,Latino América,Ninguna,Maturin,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"36,36,4",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,0,0,0,0,0,0
