,id,fecha,pais_de_residencia,provincia_de_espana,situacion_en_espana,profesion,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana
8711,U-009445,2022-07-26,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Conductor,1 año,No,Si,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses,5,1,0,0,0,0,0,0,0,0,0,1
8712,U-009446,2022-07-27,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Maestro,3 meses,No,No,No,Hasta 600€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses,3,1,0,0,0,0,0,0,0,0,0,1
8713,U-009447,2022-07-27,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Contable,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses,2,0,0,0,0,0,0,0,0,0,1,0
8714,U-009448,2022-07-27,España,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,5,1,0,0,0,0,0,0,0,1,0,0
8715,U-009449,2022-07-27,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Freelance digital,3 meses,Si,Si,Si,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
8716,U-009450,2022-07-27,España,Granada,No estoy en ninguna de esas situaciones,Auxiliar,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,0,0,0,0,0,0,1,0,0,0,0
8717,U-009451,2022-07-27,España,Las Palmas,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pintor,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,2,1,0,0,0,0,0,1,0,0,0,0
8718,U-009452,2022-07-27,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Contable,3 meses,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,0,0,0,0,0,1,0
8719,U-009453,2022-07-27,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,6 meses,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,3,0,0,0,0,0,0,0,0,0,1,0
8720,U-009454,2022-07-28,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Artes visuales,6 meses,Si,Si,Si,Más de 600€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,0,0,0,1
8721,U-009455,2022-07-28,España,Castellón,No estoy en ninguna de esas situaciones,Administrativo,3 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
8722,U-009456,2022-07-28,España,Madrid,No estoy en ninguna de esas situaciones,Trabajo de campo,Más de 1 año,Si,Si,Si,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses,2,0,0,0,0,1,0,0,0,0,1,0
8723,U-009457,2022-07-28,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,0,0,1
8724,U-009458,2022-07-28,España,Vizcaya,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,1,0,0,0,0,0
8725,U-009459,2022-07-28,España,Salamanca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes,4,0,0,0,0,0,0,0,0,1,0,0
8726,U-009460,2022-07-28,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,0,0,1,0,0,0
8727,U-009461,2022-07-28,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,1 año,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
8728,U-009462,2022-07-28,España,Valencia,No estoy en ninguna de esas situaciones,Camarero,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes,1,1,0,0,0,0,0,0,1,0,0,0
8729,U-009463,2022-07-28,España,Salamanca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Zamora,3 meses,4,1,0,0,0,0,0,0,0,1,0,0
8730,U-009464,2022-07-28,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dentista,Más de 1 año,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Palencia,6 meses,3,1,0,0,0,0,0,0,0,0,0,1
8731,U-009465,2022-07-29,España,Cádiz,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,1,0,0,0,0
8732,U-009466,2022-07-29,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Esteticista,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses,3,1,0,0,0,0,0,0,0,0,0,1
8733,U-009467,2022-07-29,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Ingeniero Industrial,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,2,0,1,0,0,0,0,0,0,0,0,1
8734,U-009468,2022-07-29,Otro,Ninguna,No estoy en ninguna de esas situaciones,Otro,3 meses,No,Si,Si,Hasta 300€,Primera residencia,Pueblos de Palencia,1 mes,5,0,0,0,0,0,0,0,0,0,0,1
8735,U-009469,2022-07-29,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0,0,1,0,0,0
8736,U-009470,2022-07-29,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,3,0,0,0,0,0,0,0,0,0,0,1
8737,U-009471,2022-07-29,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,Más de 1 año,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,0,0,0,0,1,0
